"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"taur","DE", 55.286474571,10.44386783, 4.171795e+01, 4.211699e+01, 4.652635e+01, 5.679278e+01, 6.136484e+01, 7.029777e+01, 7.186657e+01
"rmax","DE",  0.617810416, 0.25491127, 2.415214e-01, 2.694908e-01, 4.468207e-01, 6.038141e-01, 7.938086e-01, 9.908598e-01, 1.028117e+00
"treopen","DE",116.865973771, 8.07784223, 1.052057e+02, 1.063773e+02, 1.125563e+02, 1.155451e+02, 1.194662e+02, 1.293946e+02, 1.298565e+02
"log10ys","FL",  0.100259297, 0.28851059,-4.010909e-02,-3.706575e-02,-3.925081e-03, 6.114571e-03, 1.547730e-02, 6.747853e-01, 8.124264e-01
"thetamin","FL",  0.416076774, 0.24558256,-9.322833e-04, 2.940743e-02, 3.161526e-01, 4.650289e-01, 5.250958e-01, 7.567202e-01, 8.026095e-01
"tautheta","FL", 19.419464584, 1.66901836, 1.680610e+01, 1.685869e+01, 1.859245e+01, 1.986090e+01, 2.058488e+01, 2.119909e+01, 2.126669e+01
"ntheta","FL",  4.567168902, 1.01219532, 3.599412e+00, 3.614885e+00, 3.858406e+00, 4.220122e+00, 5.062613e+00, 6.316786e+00, 6.495762e+00
"taus","FL", 31.459651495, 6.15090111, 2.510253e+01, 2.524816e+01, 2.728952e+01, 3.098423e+01, 3.326690e+01, 4.244649e+01, 4.439231e+01
"taur","FL", 42.912840877, 8.96342564, 3.087717e+01, 3.188175e+01, 3.706782e+01, 4.049757e+01, 4.895517e+01, 5.654683e+01, 5.744440e+01
"rmax","FL",  0.444410436, 0.12839731, 2.571918e-01, 2.644742e-01, 3.808122e-01, 4.360576e-01, 5.280380e-01, 6.169186e-01, 6.230904e-01
"treopen","FL",110.879116079, 5.09822107, 1.059829e+02, 1.059958e+02, 1.070201e+02, 1.100684e+02, 1.124679e+02, 1.200332e+02, 1.211984e+02
"log10ys","GA",  0.051124500, 0.15417124,-4.260544e-02,-3.938635e-02,-9.224562e-03, 4.321562e-03, 1.605959e-02, 3.592023e-01, 4.285886e-01
"thetamin","GA",  0.463834864, 0.25069523, 3.143105e-03, 4.008853e-02, 3.968556e-01, 5.035235e-01, 5.976639e-01, 7.770759e-01, 8.067109e-01
"tautheta","GA", 18.724727976, 2.15623848, 1.545781e+01, 1.553557e+01, 1.749061e+01, 1.912140e+01, 2.040799e+01, 2.118775e+01, 2.135043e+01
"ntheta","GA",  4.499367250, 1.39251731, 2.843771e+00, 2.934904e+00, 3.625484e+00, 4.341532e+00, 4.899278e+00, 6.977513e+00, 7.337059e+00
"taus","GA", 28.463571963, 9.34783117, 1.969290e+01, 1.985981e+01, 2.096672e+01, 2.680061e+01, 3.294416e+01, 4.396597e+01, 4.606959e+01
"taur","GA", 47.690805691,16.53754442, 2.730937e+01, 2.845746e+01, 3.427968e+01, 4.524777e+01, 5.753741e+01, 7.311116e+01, 7.457328e+01
"rmax","GA",  0.516478972, 0.20453010, 2.340288e-01, 2.537027e-01, 4.151205e-01, 4.589588e-01, 6.391305e-01, 8.087678e-01, 8.109594e-01
"treopen","GA",107.188299939, 8.13850377, 9.831197e+01, 9.872938e+01, 1.009749e+02, 1.057235e+02, 1.110451e+02, 1.205638e+02, 1.219718e+02
"log10ys","HI",  0.039176808, 0.12668679,-3.121801e-02,-2.996614e-02,-1.589093e-02, 7.489088e-04, 1.219447e-02, 2.923349e-01, 3.497902e-01
"thetamin","HI",  0.365573607, 0.23049156,-9.422296e-05, 2.801971e-02, 2.805935e-01, 3.478999e-01, 4.859102e-01, 7.208545e-01, 7.682602e-01
"tautheta","HI", 20.621154284, 1.55087568, 1.787836e+01, 1.815025e+01, 2.019111e+01, 2.061424e+01, 2.120128e+01, 2.280758e+01, 2.294514e+01
"ntheta","HI",  5.727626683, 1.92174263, 3.922583e+00, 3.923885e+00, 4.283408e+00, 4.957956e+00, 7.256089e+00, 8.763691e+00, 9.057526e+00
"taus","HI", 35.860736708,15.85211872, 2.533411e+01, 2.533635e+01, 2.605398e+01, 3.220521e+01, 3.501669e+01, 6.722501e+01, 7.339705e+01
"taur","HI", 44.398979583,21.62092435, 1.137958e+01, 1.388760e+01, 2.939491e+01, 4.460321e+01, 6.041279e+01, 7.285614e+01, 7.458533e+01
"rmax","HI",  0.300865877, 0.14137423, 8.442520e-02, 1.018339e-01, 2.093353e-01, 2.983574e-01, 3.801307e-01, 5.081752e-01, 5.220486e-01
"treopen","HI",116.481890992,14.70586261, 1.060786e+02, 1.062699e+02, 1.074224e+02, 1.130968e+02, 1.164423e+02, 1.453753e+02, 1.512754e+02
"log10ys","IA", -0.023867927, 0.09171817,-2.452924e-01,-2.069422e-01,-1.472497e-02, 3.762267e-03, 2.281150e-02, 3.363349e-02, 3.483804e-02
"thetamin","IA",  0.505913213, 0.27548358, 1.888405e-03, 3.982347e-02, 3.923409e-01, 5.708188e-01, 6.942070e-01, 8.108607e-01, 8.305348e-01
"tautheta","IA", 18.066346127, 2.24557676, 1.506577e+01, 1.520917e+01, 1.664216e+01, 1.782861e+01, 1.935889e+01, 2.148325e+01, 2.175819e+01
