iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
410	2544.11	16.5138	3.66127	17.8402	3.09989	14.1896	0.0124262	85.4156	3.89463	7.95739	1.08913	0.606869	0.687245	0.646222	15.6054	3.64262	0.541976	0.087018	9.69392	1.64739	32.1618	0.545785	52.8034	4.6534	8.733	-4.804862e+01	-1.069394e+03	-1.117443e+03
420	2503.45	18.4958	3.58943	18.2955	2.95774	13.7908	0.0118369	85.1694	4.22435	7.95739	2.92746	0.620359	0.66665	0.645172	16.2713	4.87568	0.588844	0.0766629	9.19639	2.22078	25.8032	0.612452	53.9754	4.76763	8.61706	-4.787322e+01	-1.070611e+03	-1.118484e+03
430	2626.82	12.3638	3.58834	15.0636	2.7905	13.8836	0.011614	87.4772	4.22435	8.15342	2.997	0.586486	0.747115	0.64001	17.3245	3.00888	0.607318	0.108107	8.13155	2.16091	28.5875	0.557851	31.5752	4.39375	8.02728	-4.587967e+01	-1.069623e+03	-1.115503e+03
440	2587.38	15.6624	3.5382	12.4233	2.60303	13.5925	0.0111238	84.6799	3.91888	8.45728	1.65762	0.600293	0.723062	0.646972	17.2949	2.73587	0.588473	0.0778678	10.3243	2.82761	35.7449	0.482885	33.9571	5.12785	8.09859	-4.663058e+01	-1.065604e+03	-1.112235e+03
450	2922.99	9.19827	3.56107	16.8556	3.29484	12.7548	0.0101591	82.4657	2.96979	8.82026	1.66993	0.595314	0.697692	0.648646	18.0207	4.54734	0.704364	0.0639262	12.6646	2.45391	33.8269	0.471427	31.5576	6.84351	8.08685	-4.688787e+01	-1.067264e+03	-1.114152e+03
460	3001.68	9.67003	3.46481	14.0873	3.47822	12.6534	0.00989155	82.9701	3.71083	10.4016	1.37559	0.591966	0.741584	0.647397	19.3867	4.88466	0.717548	0.0681992	13.1866	2.97716	32.8108	0.559525	44.8069	6.73163	8.299	-4.655734e+01	-1.063138e+03	-1.109695e+03
470	3020.66	10.2013	3.45733	15.9058	3.46694	12.0452	0.00867366	82.2966	2.94659	11.1509	1.90605	0.542869	0.74308	0.641421	19.0982	4.61564	0.734218	0.0666243	13.9858	3.7431	32.7319	0.529613	39.0655	6.21013	8.05469	-4.656991e+01	-1.065611e+03	-1.112181e+03
480	2951.83	12.5033	3.44461	19.5698	3.1791	11.8646	0.00842693	82.3818	3.55224	10.2992	2.27658	0.510954	0.723019	0.642568	19.5368	4.02296	0.728481	0.116038	13.2817	3.55927	35.4228	0.556729	39.1485	5.57976	8.06199	-4.624761e+01	-1.061137e+03	-1.107385e+03
490	2951.83	9.03233	3.45565	18.7865	3.05072	11.8353	0.00876129	82.1723	2.84029	10.8962	1.30925	0.481249	0.720762	0.638658	19.2758	4.73653	0.741485	0.135042	13.8603	3.55927	37.626	0.595059	49.4437	5.3772	8.06268	-4.745752e+01	-1.062159e+03	-1.109617e+03
500	3000.44	10.1903	3.47508	13.4896	2.95092	12.1505	0.00824629	84.072	4.3209	8.71196	2.4631	0.420208	0.698783	0.628004	19.8371	4.53494	0.722981	0.122753	11.7305	3.40476	39.9247	0.655432	44.5483	4.44792	8.15569	-4.584709e+01	-1.062930e+03	-1.108777e+03
510	2707.26	7.23849	3.49614	17.1771	2.47321	12.0842	0.00834463	83.2953	2.74126	8.75463	2.21135	0.376082	0.676729	0.623118	18.4796	4.60228	0.658548	0.18313	12.727	1.96824	39.9247	0.592127	38.136	5.3193	8.08833	-4.752430e+01	-1.061050e+03	-1.108575e+03
520	2517.95	12.2559	3.45568	14.574	2.30329	11.3453	0.00773205	84.4665	4.25737	10.0914	1.9624	0.391247	0.635788	0.620923	17.6206	3.55381	0.702663	0.197959	12.4716	2.50269	32.8706	0.579689	47.7953	5.94582	8.39114	-4.617574e+01	-1.061492e+03	-1.107668e+03
530	2298.17	17.4515	3.4828	10.8754	2.53192	11.5243	0.00864488	83.9259	4.16538	8.71025	1.89985	0.32642	0.689225	0.630979	18.7605	5.07765	0.715156	0.230444	12.6432	1.62434	33.2204	0.604957	46.2112	6.60505	8.26427	-4.729910e+01	-1.064775e+03	-1.112075e+03
540	2157.15	10.3969	3.44693	15.2239	2.62498	11.5243	0.00974607	83.9335	3.49099	8.6691	1.84305	0.329066	0.795857	0.63702	19.2456	4.0422	0.718504	0.219965	10.4157	2.15919	29.291	0.579804	36.9542	6.19639	8.10795	-4.581162e+01	-1.063283e+03	-1.109094e+03
550	1861.98	7.34785	3.45576	9.27935	2.35195	11.1432	0.00877036	83.8983	3.43693	7.32501	2.48142	0.214259	0.716923	0.633652	18.9122	3.28581	0.709057	0.22206	12.2797	2.37625	35.8453	0.534686	47.4582	6.90071	8.08928	-4.681515e+01	-1.062529e+03	-1.109344e+03
560	1971.3	8.61466	3.44006	12.6453	2.107	11.1721	0.00731598	83.9422	4.41617	7.32248	1.95595	0.241889	0.692378	0.622568	19.5227	4.58754	0.664167	0.205345	13.1422	1.90329	37.7149	0.545531	50.6611	5.33683	8.00027	-4.674832e+01	-1.058998e+03	-1.105746e+03
570	1971.3	18.3017	3.47879	11.1531	2.27782	11.2337	0.00755309	84.4407	3.54175	7.47535	2.14248	0.244709	0.616402	0.614028	19.6766	3.62997	0.653954	0.213918	5.66988	1.6671	40.0584	0.651571	50.541	5.93337	8.31349	-4.796170e+01	-1.058921e+03	-1.106883e+03
580	2212.82	11.6331	3.46826	7.64828	2.46949	10.6867	0.008086	85.3213	3.9036	5.03965	1.69492	0.213646	0.66577	0.615907	18.6328	2.83592	0.711031	0.202726	10.5585	2.38676	36.8847	0.557398	36.5331	5.47696	8.3566	-4.700713e+01	-1.059978e+03	-1.106985e+03
590	1984.09	8.92381	3.45256	17.1964	2.45755	10.5923	0.00830947	84.2177	5.62399	4.92316	1.75215	0.229146	0.609738	0.618485	19.5233	2.56239	0.701072	0.169449	11.6508	2.65076	37.522	0.536306	31.5705	6.5626	8.03004	-4.716218e+01	-1.061983e+03	-1.109145e+03
600	1984.09	11.9928	3.50928	11.9969	2.74176	10.7219	0.00940065	86.1433	4.70503	5.37355	1.92968	0.221011	0.678467	0.606579	19.2835	4.92474	0.696572	0.200113	7.45027	2.62172	37.2037	0.628819	42.9702	5.0405	8.35419	-4.521535e+01	-1.061946e+03	-1.107161e+03
610	1896.8	8.64357	3.48619	10.567	3.07239	10.458	0.00865166	84.8328	3.51518	5.40046	2.25494	0.23535	0.716394	0.607585	19.754	4.85767	0.651957	0.183967	9.4029	1.42166	30.2784	0.560387	49.34	4.74575	8.07091	-4.530252e+01	-1.059362e+03	-1.104664e+03
620	1819.15	7.90627	3.49481	17.7234	2.81477	10.1842	0.00785506	82.8993	4.253	6.64238	1.50334	0.228895	0.657001	0.600285	19.9391	3.7189	0.643775	0.196658	9.54861	2.50849	38.6714	0.657889	44.5571	5.15558	8.09716	-4.595868e+01	-1.060470e+03	-1.106428e+03
630	1996.04	7.43274	3.43098	15.3062	2.10427	10.9312	0.00734557	83.6236	3.71812	7.40191	1.33833	0.2559	0.653077	0.607954	19.2565	3.743	0.633223	0.21324	13.2769	2.32169	28.3347	0.634215	54.4081	6.99093	8.30005	-4.721450e+01	-1.060768e+03	-1.107982e+03
