iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
640	7223.47	14.9404	2.94543	9.80986	2.98047	6.1862	0.00336974	166.798	34.0394	6.441	2.73705	0.508287	0.881535	0.654986	0.432775	23.3644	4.20463	0.447553	0.135004	8.44798	13.7986	28.5972	0.482702	42.6481	7.13802	2.90429	-5.251742e+01	-1.035077e+03	-1.087594e+03
650	6364.56	20.0599	2.98764	11.5084	3.45557	5.13984	0.00336974	166.798	32.4487	6.69765	2.55911	0.498099	0.933608	0.609692	0.413946	23.4822	3.92602	0.436259	0.370056	11.2639	13.093	26.1695	0.474015	42.6256	6.47843	4.29855	-5.484311e+01	-1.042702e+03	-1.097545e+03
660	6168.89	20.8236	2.99078	12.7001	3.50401	5.38932	0.00269931	165.088	31.5711	5.9716	1.38603	0.535014	0.82406	0.646903	0.421169	23.4777	6.29093	0.438446	0.202374	9.03596	13.1452	24.0361	0.502395	46.1262	7.82368	5.12844	-5.504759e+01	-1.033082e+03	-1.088129e+03
670	6237.63	14.3694	3.00935	8.69163	3.54073	5.41135	0.00278659	168.65	33.7807	6.40765	2.28626	0.424444	0.780842	0.746476	0.417631	22.9931	4.71058	0.43428	0.115946	8.89251	12.7546	21.586	0.412108	45.7687	7.55745	3.44503	-5.189733e+01	-1.033205e+03	-1.085102e+03
680	6090.01	11.0288	2.9173	13.6756	3.64733	5.37075	0.00348218	167.892	30.9178	4.28168	2.83033	0.482875	0.753383	0.716258	0.412061	24.1131	3.90315	0.43428	0.129737	7.56679	13.9395	16.5672	0.403481	45.9008	5.43367	5.78067	-5.336685e+01	-1.038203e+03	-1.091569e+03
690	6205.76	15.0274	2.96197	18.4413	3.55634	5.39297	0.00243584	167.892	35.1849	5.773	2.52702	0.405909	0.688736	0.619513	0.415483	23.2046	7.68281	0.43979	0.141898	9.42967	13.1768	18.4824	0.475686	41.2517	4.58817	3.38497	-5.677565e+01	-1.039477e+03	-1.096252e+03
700	6802.86	11.1923	2.9713	13.8453	3.54343	5.03478	0.00251539	172.006	35.6164	6.74669	2.70998	0.323775	0.613247	0.69135	0.399183	23.6845	5.11483	0.450601	0.21407	7.58974	13.1266	18.8871	0.431833	36.1052	5.27713	4.31012	-5.285215e+01	-1.038038e+03	-1.090890e+03
710	6802.86	11.7592	2.97201	13.2149	3.54343	5.05838	0.00235702	172.871	38.0301	8.1852	2.73778	0.148784	0.551792	0.669308	0.400459	23.4183	5.53095	0.456294	0.168922	9.29425	13.8433	21.5659	0.493356	36.4795	6.12737	4.04862	-5.354951e+01	-1.036787e+03	-1.090336e+03
720	7082.93	15.3999	3.01546	12.2372	3.37869	5.1012	0.00241107	174.095	35.7918	10.6885	2.92531	0.0706471	0.539077	0.669105	0.408419	23.9376	3.82176	0.447974	0.253315	9.70595	12.6564	23.3596	0.486296	49.0984	6.57437	3.51888	-5.456573e+01	-1.032184e+03	-1.086750e+03
730	8938.32	13.8207	3.00277	17.7567	3.37869	5.22506	0.00189963	176.34	37.1923	7.54676	2.54335	0.193386	0.565279	0.675521	0.422975	21.9542	5.51917	0.454789	0.141677	12.8483	12.4236	31.175	0.545437	42.6204	6.91227	3.42257	-5.332645e+01	-1.037035e+03	-1.090361e+03
740	9586.22	10.8734	3.03022	14.7973	3.56871	5.14194	0.00189963	177.98	37.751	6.82039	2.46316	0.190415	0.369819	0.699323	0.428655	21.6729	5.06595	0.467232	0.147494	11.4588	13.4816	31.8118	0.588287	42.6303	6.91227	3.34533	-5.240703e+01	-1.032184e+03	-1.084591e+03
750	9407.85	8.41439	3.02296	11.4269	3.56871	5.16537	0.0019318	171.102	35.0821	6.72063	2.22666	0.0422219	0.282136	0.747196	0.421372	22.4912	4.92462	0.453154	0.124517	11.4589	12.2395	33.349	0.584009	39.9618	7.56207	3.36222	-5.316781e+01	-1.033869e+03	-1.087037e+03
760	8337.33	7.31327	3.00634	10.3354	3.50931	5.16537	0.00163515	170.446	32.3318	6.68908	1.84601	0.131442	0.311846	0.724805	0.431326	23.0912	4.47853	0.456323	0.135532	8.31136	10.6785	36.7175	0.584009	43.2175	7.71377	3.6701	-5.299987e+01	-1.035213e+03	-1.088213e+03
770	8647.83	10.4703	3.01726	15.0639	3.18038	5.35777	0.00218631	172.634	32.8501	8.11715	1.3945	0.0905627	0.331726	0.848076	0.431607	21.4281	3.87457	0.455826	0.140371	11.0694	12.7537	36.4568	0.562162	45.6396	7.04392	4.71844	-5.299994e+01	-1.033952e+03	-1.086952e+03
