"","Date","Output_Var","state","Data","Training","Prediction.2.5.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.97.5.","in.IQR","in.CI"
"1438",2020-06-26,"positive","CO",31479,"Training",27405.302018708,29867.9722008,31316.66862264,32804.58203664,36248.886357292,TRUE,TRUE
"1439",2020-06-27,"death","CO",1482,"Training",1283.5426398748,1520.042841828,1685.818135376,1910.218801088,2373.5171745184,FALSE,TRUE
"1440",2020-06-27,"positive","CO",31796,"Training",27662.783743372,30117.98772424,31571.06078544,33079.99358584,36520.23367856,TRUE,TRUE
"1441",2020-06-28,"death","CO",1482,"Training",1293.47689138,1530.761289208,1699.17264416,1922.797320196,2387.1996433176,FALSE,TRUE
"1442",2020-06-28,"positive","CO",32022,"Training",27896.306246908,30352.41146996,31828.41869728,33351.51798824,36781.045392316,TRUE,TRUE
"1443",2020-06-29,"death","CO",1482,"Training",1303.2212485656,1540.978726556,1712.527152944,1935.580274432,2400.9147929436,FALSE,TRUE
"1444",2020-06-29,"positive","CO",32307,"Training",28163.32875744,30608.60323776,32085.69022808,33607.16267612,37038.07361652,TRUE,TRUE
"1445",2020-06-30,"death","CO",1508,"Training",1312.6638479848,1551.009004984,1723.794119928,1948.027782296,2415.7677248348,FALSE,TRUE
"1446",2020-06-30,"positive","CO",32511,"Training",28438.938983032,30883.98599328,32357.93447248,33888.0738182,37300.014042532,TRUE,TRUE
"1447",2020-07-01,"death","CO",1520,"Training",1322.188509392,1560.75422598,1733.32194864,1959.313465172,2431.24835895,FALSE,TRUE
"1448",2020-07-01,"positive","CO",32715,"Training",28705.757058436,31144.33844784,32623.32582104,34176.16898344,37567.264023136,TRUE,TRUE
"1449",2020-07-02,"death","CO",1520,"Training",1331.8040148596,1569.477271336,1745.245411528,1970.352962084,2446.8290511032,FALSE,TRUE
"1450",2020-07-02,"positive","CO",33029,"Training",28966.24052424,31398.77380116,32906.97236272,34466.1789284,37840.28713658,TRUE,TRUE
"1451",2020-07-03,"death","CO",1521,"Training",1342.1718991856,1580.120855148,1758.726612504,1981.42989078,2462.5273654392,FALSE,TRUE
"1452",2020-07-03,"positive","CO",33352,"Training",29231.71105542,31683.67286792,33192.26014416,34756.52000068,38119.464899124,TRUE,TRUE
"1453",2020-07-04,"death","CO",1521,"Training",1353.349029888,1591.825486068,1771.885324264,1991.660285284,2478.3575548296,FALSE,TRUE
"1454",2020-07-04,"positive","CO",33619,"Training",29502.34285374,31996.34343904,33488.00003144,35038.55409628,38405.342951004,TRUE,TRUE
"1455",2020-07-05,"death","CO",1521,"Training",1364.361172804,1604.035446072,1784.974931192,2003.472892504,2494.3311367464,FALSE,TRUE
"1456",2020-07-05,"positive","CO",33866,"Training",29778.536151352,32296.58953724,33800.38266576,35336.26635064,38700.655252136,TRUE,TRUE
"1457",2020-07-06,"death","CO",1521,"Training",1375.2172539744,1615.4334243,1795.90501212,2016.417091348,2510.468410734,FALSE,TRUE
"1458",2020-07-06,"positive","CO",34065,"Training",30060.51553896,32585.11660768,34089.32724456,35638.93111796,39008.874320328,TRUE,TRUE
"1459",2020-07-07,"death","CO",1542,"Training",1385.5654146296,1626.27424482,1806.45789584,2029.13382012,2526.7866530004,FALSE,TRUE
"1460",2020-07-07,"positive","CO",34257,"Training",30348.486891376,32854.82700824,34404.18613536,35951.97600692,39324.837448756,TRUE,TRUE
"1461",2020-07-08,"death","CO",1542,"Training",1394.963095908,1637.643429368,1817.143230488,2040.546195188,2543.2943576812,FALSE,TRUE
"1462",2020-07-08,"positive","CO",34664,"Training",30642.814448652,33134.42803788,34734.30567656,36269.13839212,39649.068682396,TRUE,TRUE
"1463",2020-07-09,"death","CO",1544,"Training",1404.1415133132,1647.513902872,1828.505216616,2052.806544132,2560.0260771924,FALSE,TRUE
"1464",2020-07-09,"positive","CO",35116,"Training",30943.837976212,33455.46317304,35044.6439596,36586.80466672,39966.25410254,TRUE,TRUE
"1465",2020-07-10,"death","CO",1581,"Training",1414.2897018608,1658.101339008,1840.754048088,2068.09886758,2575.492458436,FALSE,TRUE
"1466",2020-07-10,"positive","CO",35525,"Training",31251.815177492,33838.01600552,35361.8063448,36943.19844092,40311.082895168,TRUE,TRUE
"1467",2020-07-11,"death","CO",1586,"Training",1425.1125263308,1669.304959896,1854.416649248,2082.962165196,2590.326962372,FALSE,TRUE
"1468",2020-07-11,"positive","CO",36191,"Training",31566.931771728,34197.08759196,35688.58581912,37269.47402584,40675.105554884,TRUE,TRUE
"1469",2020-07-12,"death","CO",1586,"Training",1435.8059232092,1680.956322508,1868.128199664,2097.39643698,2605.4661034424,FALSE,TRUE
"1470",2020-07-12,"positive","CO",36591,"Training",31889.700286424,34545.15999264,36021.7574904,37612.40675464,41039.554361064,TRUE,TRUE
"1471",2020-07-13,"death","CO",1586,"Training",1445.59030361,1695.053708236,1882.61717944,2111.185730332,2620.0336899648,FALSE,TRUE
"1472",2020-07-13,"positive","CO",36913,"Training",32220.038659592,34886.03397332,36358.81630848,37963.90560324,41426.994920724,TRUE,TRUE
"1473",2020-07-14,"death","CO",1589,"Training",1455.5632826148,1706.9973267,1898.203198424,2124.953428424,2634.5947979092,FALSE,TRUE
"1474",2020-07-14,"positive","CO",37242,"Training",32557.32350806,35211.18660472,36742.29053872,38272.32910656,41799.916267244,TRUE,TRUE
