"date","numDate","state","fips","variable","value"
2020-03-25,85,"NV",32,"positiveIncrease",43
2020-03-25,85,"NY",36,"positiveIncrease",5146
2020-03-25,85,"OH",39,"positiveIncrease",140
2020-03-25,85,"OK",40,"positiveIncrease",58
2020-03-25,85,"OR",41,"positiveIncrease",0
2020-03-25,85,"PA",42,"positiveIncrease",276
2020-03-25,85,"PR",72,"positiveIncrease",12
2020-03-25,85,"RI",44,"positiveIncrease",28
2020-03-25,85,"SC",45,"positiveIncrease",126
2020-03-25,85,"SD",46,"positiveIncrease",11
2020-03-25,85,"TN",47,"positiveIncrease",117
2020-03-25,85,"TX",48,"positiveIncrease",564
2020-03-25,85,"UT",49,"positiveIncrease",47
2020-03-25,85,"VA",51,"positiveIncrease",101
2020-03-25,85,"VI",78,"positiveIncrease",0
2020-03-25,85,"VT",50,"positiveIncrease",35
2020-03-25,85,"WA",53,"positiveIncrease",406
2020-03-25,85,"WI",55,"positiveIncrease",142
2020-03-25,85,"WV",54,"positiveIncrease",19
2020-03-25,85,"WY",56,"positiveIncrease",15
2020-03-26,86,"AK",2,"positiveIncrease",17
2020-03-26,86,"AL",1,"positiveIncrease",223
2020-03-26,86,"AR",5,"positiveIncrease",55
2020-03-26,86,"AZ",4,"positiveIncrease",127
2020-03-26,86,"CA",6,"positiveIncrease",651
2020-03-26,86,"CO",8,"positiveIncrease",174
2020-03-26,86,"CT",9,"positiveIncrease",137
2020-03-26,86,"DC",11,"positiveIncrease",48
2020-03-26,86,"DE",10,"positiveIncrease",15
2020-03-26,86,"FL",12,"positiveIncrease",673
2020-03-26,86,"GA",13,"positiveIncrease",278
2020-03-26,86,"GU",66,"positiveIncrease",8
2020-03-26,86,"HI",15,"positiveIncrease",5
2020-03-26,86,"IA",19,"positiveIncrease",34
2020-03-26,86,"ID",16,"positiveIncrease",50
2020-03-26,86,"IL",17,"positiveIncrease",673
2020-03-26,86,"IN",18,"positiveIncrease",168
2020-03-26,86,"KS",20,"positiveIncrease",42
2020-03-26,86,"KY",21,"positiveIncrease",41
2020-03-26,86,"LA",22,"positiveIncrease",510
2020-03-26,86,"MA",25,"positiveIncrease",579
2020-03-26,86,"MD",24,"positiveIncrease",157
2020-03-26,86,"ME",23,"positiveIncrease",6
2020-03-26,86,"MI",26,"positiveIncrease",1140
2020-03-26,86,"MN",27,"positiveIncrease",63
2020-03-26,86,"MO",29,"positiveIncrease",146
2020-03-26,86,"MS",28,"positiveIncrease",108
2020-03-26,86,"MT",30,"positiveIncrease",18
2020-03-26,86,"NC",37,"positiveIncrease",132
2020-03-26,86,"ND",38,"positiveIncrease",13
2020-03-26,86,"NE",31,"positiveIncrease",12
2020-03-26,86,"NH",33,"positiveIncrease",29
2020-03-26,86,"NJ",34,"positiveIncrease",2474
2020-03-26,86,"NM",35,"positiveIncrease",12
2020-03-26,86,"NV",32,"positiveIncrease",99
